Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	FASDC-6	8	2121586	7871
Amazon0312	FASDC-6	9	2121603	9105
Amazon0312	FASDC-8	1	2124340	10162
Amazon0312	FASDC-8	10	2122900	9339
Amazon0312	FASDC-8	2	2126356	10451
Amazon0312	FASDC-8	3	2124747	9307
Amazon0312	FASDC-8	4	2122604	9513
Amazon0312	FASDC-8	5	2124225	9976
Amazon0312	FASDC-8	6	2123869	10162
Amazon0312	FASDC-8	7	2121985	10525
Amazon0312	FASDC-8	8	2124048	10174
Amazon0312	FASDC-8	9	2123933	10647
Amazon0312	RED+Greedy	1	2204327	3618
Amazon0312	RED+Greedy	10	2204272	3646
Amazon0312	RED+Greedy	2	2206554	3643
Amazon0312	RED+Greedy	3	2204931	3686
Amazon0312	RED+Greedy	4	2203577	3628
Amazon0312	RED+Greedy	5	2204785	3639
Amazon0312	RED+Greedy	6	2204480	3688
Amazon0312	RED+Greedy	7	2203402	3627
Amazon0312	RED+Greedy	8	2202107	3647
Amazon0312	RED+Greedy	9	2205087	3682
Amazon0312	REDstar+Greedy	1	2193581	4798
Amazon0312	REDstar+Greedy	10	2193694	4830
Amazon0312	REDstar+Greedy	2	2196859	5188
Amazon0312	REDstar+Greedy	3	2194729	4889
Amazon0312	REDstar+Greedy	4	2191918	4974
Amazon0312	REDstar+Greedy	5	2194785	4818
Amazon0312	REDstar+Greedy	6	2194328	4740
Amazon0312	REDstar+Greedy	7	2191737	5024
Amazon0312	REDstar+Greedy	8	2191760	4830
Amazon0312	REDstar+Greedy	9	2194297	5241
Amazon0312	scc+2cyc+Greedy	1	2211583	3463
Amazon0312	scc+2cyc+Greedy	10	2212316	3500
Amazon0312	scc+2cyc+Greedy	2	2214100	3469
Amazon0312	scc+2cyc+Greedy	3	2213667	3624
Amazon0312	scc+2cyc+Greedy	4	2211314	3543
Amazon0312	scc+2cyc+Greedy	5	2212539	3568
Amazon0312	scc+2cyc+Greedy	6	2212234	3572
Amazon0312	scc+2cyc+Greedy	7	2210408	3434
Amazon0312	scc+2cyc+Greedy	8	2210423	3466
Amazon0312	scc+2cyc+Greedy	9	2212515	3504
Amazon0312	scc+2cyc+chain+Greedy	1	2210927	3432
Amazon0312	scc+2cyc+chain+Greedy	10	2211812	3436
Amazon0312	scc+2cyc+chain+Greedy	2	2213674	3487
Amazon0312	scc+2cyc+chain+Greedy	3	2212864	3498
Amazon0312	scc+2cyc+chain+Greedy	4	2210766	3527
Amazon0312	scc+2cyc+chain+Greedy	5	2211955	3520
Amazon0312	scc+2cyc+chain+Greedy	6	2211590	3490
Amazon0312	scc+2cyc+chain+Greedy	7	2209936	3437
Amazon0312	scc+2cyc+chain+Greedy	8	2209752	3483
Amazon0312	scc+2cyc+chain+Greedy	9	2212036	3446
Amazon0312	scc+Greedy	1	2327894	3824
Amazon0312	scc+Greedy	10	2327549	3889
Amazon0312	scc+Greedy	2	2327824	3938
Amazon0312	scc+Greedy	3	2328963	3889
Amazon0312	scc+Greedy	4	2325952	3890
Amazon0312	scc+Greedy	5	2327567	3899
Amazon0312	scc+Greedy	6	2327535	3972
Amazon0312	scc+Greedy	7	2324977	3903
Amazon0312	scc+Greedy	8	2325973	3862
Amazon0312	scc+Greedy	9	2326989	3908
Amazon0505	Greedy	1	2524608	1960
Amazon0505	Greedy	10	2521316	1986
Amazon0505	Greedy	2	2523071	1959
Amazon0505	Greedy	3	2521991	1963
Amazon0505	Greedy	4	2521008	1920
Amazon0505	Greedy	5	2523245	1983
Amazon0505	Greedy	6	2523140	1864
Amazon0505	Greedy	7	2523605	1961
Amazon0505	Greedy	8	2524007	1949
Amazon0505	Greedy	9	2524315	1900
Amazon0505	HCS+Greedy	1	2508444	7204
Amazon0505	HCS+Greedy	10	2505271	7583
Amazon0505	HCS+Greedy	2	2506390	5894
Amazon0505	HCS+Greedy	3	2505617	7631
Amazon0505	HCS+Greedy	4	2504039	7673
Amazon0505	HCS+Greedy	5	2506746	7629
Amazon0505	HCS+Greedy	6	2506379	7598
Amazon0505	HCS+Greedy	7	2507631	7697
Amazon0505	HCS+Greedy	8	2507214	7662
Amazon0505	HCS+Greedy	9	2507936	7726
Amazon0505	SimFASDC-12	1	2316386	9303
Amazon0505	SimFASDC-12	10	2314968	9147
Amazon0505	SimFASDC-12	2	2316816	9380
Amazon0505	SimFASDC-12	3	2315144	9418
Amazon0505	SimFASDC-12	4	2313638	9306
Amazon0505	SimFASDC-12	5	2315580	9310
Amazon0505	SimFASDC-12	6	2315995	9297
Amazon0505	SimFASDC-12	7	2316965	9419
Amazon0505	SimFASDC-12	8	2315500	9496
Amazon0505	SimFASDC-12	9	2317213	9588
Amazon0505	SimFASDC-16	1	2317650	10869
Amazon0505	SimFASDC-16	10	2315884	10666
Amazon0505	SimFASDC-16	2	2318238	7888
Amazon0505	SimFASDC-16	3	2316472	10673
Amazon0505	SimFASDC-16	4	2314707	10841
