Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	FASDC-24	5	850706	3092
Amazon0312	FASDC-24	6	850706	3168
Amazon0312	FASDC-24	7	850706	3088
Amazon0312	FASDC-24	8	850706	2969
Amazon0312	FASDC-24	9	850706	3124
Amazon0312	FASDC-2	1	850706	3123
Amazon0312	FASDC-2	10	850707	3010
Amazon0312	FASDC-2	2	850707	3126
Amazon0312	FASDC-2	3	850706	3159
Amazon0312	FASDC-2	4	850707	3123
Amazon0312	FASDC-2	5	850706	3174
Amazon0312	FASDC-2	6	850706	4173
Amazon0312	FASDC-2	7	850706	3005
Amazon0312	FASDC-2	8	850706	2934
Amazon0312	FASDC-2	9	850707	2984
Amazon0312	FASDC-32	1	850706	3182
Amazon0312	FASDC-32	10	850706	3102
Amazon0312	FASDC-32	2	850706	3210
Amazon0312	FASDC-32	3	850706	3124
Amazon0312	FASDC-32	4	850706	2961
Amazon0312	FASDC-32	5	850706	3205
Amazon0312	FASDC-32	6	850706	3016
Amazon0312	FASDC-32	7	850706	3119
Amazon0312	FASDC-32	8	850706	3235
Amazon0312	FASDC-32	9	850706	3140
Amazon0312	FASDC-3	1	850706	3104
Amazon0312	FASDC-3	10	850707	2935
Amazon0312	FASDC-3	2	850707	3396
Amazon0312	FASDC-3	3	850706	2972
Amazon0312	FASDC-3	4	850707	3094
Amazon0312	FASDC-3	5	850706	3178
Amazon0312	FASDC-3	6	850706	3132
Amazon0312	FASDC-3	7	850706	2933
Amazon0312	FASDC-3	8	850706	3147
Amazon0312	FASDC-3	9	850707	3142
Amazon0312	FASDC-48	1	850706	3289
Amazon0312	FASDC-48	10	850706	3131
Amazon0312	FASDC-48	2	850706	2938
Amazon0312	FASDC-48	3	850706	3148
Amazon0312	FASDC-48	4	850706	2998
Amazon0312	FASDC-48	5	850706	3137
Amazon0312	FASDC-48	6	850706	3166
Amazon0312	FASDC-48	7	850706	3134
Amazon0312	FASDC-48	8	850706	2926
Amazon0312	FASDC-48	9	850706	3165
Amazon0312	FASDC-4	1	850706	3147
Amazon0312	FASDC-4	10	850706	2995
Amazon0312	FASDC-4	2	850706	3150
Amazon0312	FASDC-4	3	850706	3175
Amazon0312	FASDC-4	4	850707	3144
Amazon0312	FASDC-4	5	850706	2949
Amazon0312	FASDC-4	6	850706	3134
Amazon0312	FASDC-4	7	850706	2998
Amazon0312	FASDC-4	8	850706	3243
Amazon0312	FASDC-4	9	850706	3288
Amazon0312	FASDC-6	1	850706	2935
Amazon0312	FASDC-6	10	850706	3060
Amazon0312	FASDC-6	2	850706	3091
Amazon0312	FASDC-6	3	850706	2918
Amazon0312	FASDC-6	4	850707	3084
Amazon0312	FASDC-6	5	850706	3003
Amazon0312	FASDC-6	6	850706	3181
Amazon0312	FASDC-6	7	850706	3297
Amazon0312	FASDC-6	8	850706	3080
Amazon0312	FASDC-6	9	850706	2892
Amazon0312	FASDC-8	1	850706	3202
Amazon0312	FASDC-8	10	850706	3125
Amazon0312	FASDC-8	2	850706	3000
Amazon0312	FASDC-8	3	850706	3232
Amazon0312	FASDC-8	4	850706	3168
Amazon0312	FASDC-8	5	850706	3320
Amazon0312	FASDC-8	6	850706	2938
Amazon0312	FASDC-8	7	850706	3147
Amazon0312	FASDC-8	8	850706	3015
Amazon0312	FASDC-8	9	850706	3155
Amazon0312	RED+Greedy	1	850709	3078
Amazon0312	RED+Greedy	10	850707	3201
Amazon0312	RED+Greedy	2	850708	3095
Amazon0312	RED+Greedy	3	850707	3084
Amazon0312	RED+Greedy	4	850707	3049
Amazon0312	RED+Greedy	5	850709	3064
Amazon0312	RED+Greedy	6	850706	3049
Amazon0312	RED+Greedy	7	850707	3072
Amazon0312	RED+Greedy	8	850708	3010
Amazon0312	RED+Greedy	9	850707	3077
Amazon0312	REDstar+Greedy	1	850707	3175
Amazon0312	REDstar+Greedy	10	850707	3274
Amazon0312	REDstar+Greedy	2	850707	3173
Amazon0312	REDstar+Greedy	3	850707	3170
Amazon0312	REDstar+Greedy	4	850707	3166
Amazon0312	REDstar+Greedy	5	850707	3130
Amazon0312	REDstar+Greedy	6	850707	3134
Amazon0312	REDstar+Greedy	7	850707	3145
Amazon0312	REDstar+Greedy	8	850707	3168
Amazon0312	REDstar+Greedy	9	850707	3279
Amazon0312	scc+2cyc+Greedy	1	850708	2745
Amazon0312	scc+2cyc+Greedy	10	850710	2784
Amazon0312	scc+2cyc+Greedy	2	850709	2675
Amazon0312	scc+2cyc+Greedy	3	850708	2689
Amazon0312	scc+2cyc+Greedy	4	850707	2714
Amazon0312	scc+2cyc+Greedy	5	850709	2709
Amazon0312	scc+2cyc+Greedy	6	850711	2708
Amazon0312	scc+2cyc+Greedy	7	850710	2696
Amazon0312	scc+2cyc+Greedy	8	850711	2734
Amazon0312	scc+2cyc+Greedy	9	850708	2735
Amazon0312	scc+2cyc+chain+Greedy	1	850710	2750
Amazon0312	scc+2cyc+chain+Greedy	10	850708	2751
Amazon0312	scc+2cyc+chain+Greedy	2	850708	2783
Amazon0312	scc+2cyc+chain+Greedy	3	850710	2749
Amazon0312	scc+2cyc+chain+Greedy	4	850709	2831
Amazon0312	scc+2cyc+chain+Greedy	5	850711	2709
Amazon0312	scc+2cyc+chain+Greedy	6	850708	2781
Amazon0312	scc+2cyc+chain+Greedy	7	850708	2752
Amazon0312	scc+2cyc+chain+Greedy	8	850708	2784
Amazon0312	scc+2cyc+chain+Greedy	9	850710	2746
Amazon0312	scc+Greedy	1	871389	3594
Amazon0312	scc+Greedy	10	871517	3518
Amazon0312	scc+Greedy	2	871472	3550
Amazon0312	scc+Greedy	3	871477	3615
Amazon0312	scc+Greedy	4	871490	3564
Amazon0312	scc+Greedy	5	871509	3604
Amazon0312	scc+Greedy	6	871493	3520
Amazon0312	scc+Greedy	7	871538	3487
Amazon0312	scc+Greedy	8	871524	3563
Amazon0312	scc+Greedy	9	871502	3577
Amazon0505	Greedy	1	941431	1561
Amazon0505	Greedy	10	941409	1511
Amazon0505	Greedy	2	941289	1544
Amazon0505	Greedy	3	941306	1566
Amazon0505	Greedy	4	941452	1551
Amazon0505	Greedy	5	941343	1548
Amazon0505	Greedy	6	941371	1522
Amazon0505	Greedy	7	941355	1518
Amazon0505	Greedy	8	941377	1560
